tau,meth_cost_ratio,pct_resolved_stage1,avg_cost_per_patient,overall_accuracy_ceiling,overall_accuracy_floor
0.52,1.45,0.9282639885222381,1.1040172166427547,0.9856527977044476,0.9641319942611191
0.52,1.8,0.9282639885222381,1.1291248206599713,0.9856527977044476,0.9641319942611191
0.54,1.2,0.9253945480631277,1.0895265423242468,0.9856527977044476,0.9641319942611191
0.54,1.45,0.9253945480631277,1.1081779053084648,0.9856527977044476,0.9641319942611191
0.54,1.8,0.9253945480631277,1.1342898134863701,0.9856527977044476,0.9641319942611191
0.56,1.2,0.9239598278335724,1.091248206599713,0.9856527977044476,0.9641319942611191
0.56,1.45,0.9239598278335724,1.11025824964132,0.9856527977044476,0.9641319942611191
0.56,1.8,0.9239598278335724,1.1368723098995697,0.9856527977044476,0.9641319942611191
0.58,1.2,0.9196556671449068,1.096413199426112,0.9856527977044476,0.9641319942611191
0.58,1.45,0.9196556671449068,1.1164992826398852,0.9856527977044476,0.9641319942611191
0.58,1.8,0.9196556671449068,1.1446197991391678,0.9856527977044476,0.9641319942611191
0.6,1.2,0.9167862266857962,1.0998565279770445,0.9856527977044476,0.9641319942611191
0.6,1.45,0.9167862266857962,1.1206599713055954,0.9856527977044476,0.9641319942611191
0.6,1.8,0.9167862266857962,1.1497847919655668,0.9856527977044476,0.9641319942611191
0.62,1.2,0.9124820659971306,1.1050215208034433,0.9856527977044476,0.9641319942611191
0.62,1.45,0.9124820659971306,1.1269010043041607,0.9856527977044476,0.9641319942611191
0.62,1.8,0.9124820659971306,1.157532281205165,0.9856527977044476,0.9641319942611191
0.64,1.2,0.9124820659971306,1.1050215208034433,0.9856527977044476,0.9641319942611191
0.64,1.45,0.9124820659971306,1.1269010043041607,0.9856527977044476,0.9641319942611191
0.64,1.8,0.9124820659971306,1.157532281205165,0.9856527977044476,0.9641319942611191
0.66,1.2,0.9067431850789096,1.1119081779053084,0.9856527977044476,0.9641319942611191
0.66,1.45,0.9067431850789096,1.135222381635581,0.9856527977044476,0.9641319942611191
0.66,1.8,0.9067431850789096,1.1678622668579628,0.9856527977044476,0.9641319942611191
0.68,1.2,0.9024390243902439,1.1170731707317074,0.9856527977044476,0.9641319942611191
0.68,1.45,0.9024390243902439,1.1414634146341462,0.9856527977044476,0.9641319942611191
0.68,1.8,0.9024390243902439,1.175609756097561,0.9856527977044476,0.9641319942611191
0.7,1.2,0.8938307030129125,1.127403156384505,0.9856527977044476,0.9641319942611191
